,poblacion_demografia,parques_idrd,paraderos_sitp,sedes_educativas,matricula_oficial,inversion_educacion_2025,ips_salud,estaciones_troncales,estaciones_linea1,estaciones_linea2,total_fuentes_con_dato
Antonio Nariño,202,3,92,42,12,1,69,5,0,0,8
Barrios Unidos,202,10,234,63,23,1,210,13,0,2,9
Bosa,202,11,485,147,63,1,46,5,0,0,8
Chapinero,202,3,333,26,7,1,511,9,0,0,8
Ciudad Bolívar,202,14,593,149,81,1,50,2,0,0,8
Engativá,202,13,784,258,69,1,172,12,0,5,9
Fontibón,202,5,388,97,21,1,137,2,0,0,8
Kennedy,202,13,926,261,75,1,193,10,0,0,8
La Candelaria,202,2,37,19,3,1,10,1,0,0,8
Los Mártires,202,4,167,35,14,1,34,9,0,0,8
Puente Aranda,202,6,377,94,32,1,96,15,0,0,8
Rafael Uribe Uribe,202,9,302,121,50,1,61,7,0,0,8
San Cristóbal,202,7,408,128,63,1,31,3,0,0,8
Santa Fe,202,8,194,29,16,1,78,14,0,0,8
Suba,202,12,844,357,69,1,312,13,0,4,9
Sumapaz,202,0,0,24,23,1,3,0,0,0,5
Teusaquillo,202,4,271,56,3,1,270,13,0,0,8
Tunjuelito,202,3,192,68,23,1,33,4,0,0,8
Usaquén,202,5,698,130,27,1,560,10,0,0,8
Usme,202,7,327,107,73,1,24,2,0,0,8
