sector,ruta,archivo,formato,tamano_mb,error_lectura,encoding,separador,crs,geometria,filas_totales,filas_muestra,columnas,n_unnamed,n_cols_vacias,filas_titulo_omitidas,pct_nulos_total,duplicados,columnas_territoriales,variables_numericas,variables_categoricas,variables_temporales,variables_espaciales,encoding_legacy,muestra_por_performance,bbox_fuera_bogota,capa_hoja,problemas_detectados
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,44414,,4,0,0,0,,,,0,0,0,0,False,True,False,Manz,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,933426,,8,0,0,0,,,,0,0,0,0,False,True,False,Lote,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1217,,5,0,0,0,,,,0,0,0,0,False,True,False,SCat,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,2415108,,11,0,0,0,,,,0,0,0,0,False,True,False,Cons,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,13252,,14,0,0,0,,,,0,0,0,0,False,True,False,CDAg,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,1575,,5,0,0,0,,,,0,0,0,0,False,True,False,CNiv,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1,1.0,6,0,0,0,0.0,0.0,,3,3,0,0,False,True,False,Muni,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,20,20.0,6,0,0,0,0.0,0.0,"LocAAdmini, LocArea",3,2,0,0,False,True,False,Loca,muestra_por_performance
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,3,,5,0,0,0,,,,0,0,0,0,False,True,False,Corr,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,11,,5,0,0,0,,,,0,0,0,0,False,True,False,CPob,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,1798092,,7,0,0,0,,,,0,0,0,0,False,True,False,PDom,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,81,,5,0,0,0,,,,0,0,0,0,False,True,False,CPos,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,363,,11,0,0,0,,,,0,0,0,0,False,True,False,PGeo,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,677,,16,0,0,0,,,,0,0,0,0,False,True,False,CAgu,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon Z,66,,18,0,0,0,,,,0,0,0,0,False,True,False,PatioSITP,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,7623,,15,0,0,0,,,,0,0,0,0,False,True,False,PSITP,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,149,,16,0,0,0,,,,0,0,0,0,False,True,False,ETro,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,104483,,8,0,0,0,,,,0,0,0,0,False,True,False,Calz,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,168912,,5,0,0,0,,,,0,0,0,0,False,True,False,Ande,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,13683,,5,0,0,0,,,,0,0,0,0,False,True,False,Sepa,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,6182,,5,0,0,0,,,,0,0,0,0,False,True,False,Cicl,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,1212,,5,0,0,0,,,,0,0,0,0,False,True,False,Puen,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,15674,,7,0,0,0,,,,0,0,0,0,False,True,False,RBic,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiLineString,139107,,16,0,0,0,,,,0,0,0,0,False,True,False,MVI,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7725,,8,0,0,0,,,,0,0,0,0,False,True,False,AUrb,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,33,33.0,11,0,0,0,9.09,0.0,CODIGO_UPL,3,6,1,0,False,True,False,UPL,muestra_por_performance
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,3,,7,0,0,0,,,,0,0,0,0,False,True,False,UPR,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7,,6,0,0,0,,,,0,0,0,0,False,True,False,Suel,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,6,,10,0,0,0,,,,0,0,0,0,False,True,False,Cuenca,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,39,,8,0,0,0,,,,0,0,0,0,False,True,False,Microcuenca,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,120,,6,0,0,0,,,,0,0,0,0,False,True,False,SubCuenca,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,MultiPolygon,7,,8,0,0,0,,,,0,0,0,0,False,True,False,SubzonaHidrografica,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,EPSG:4686,Point,14071,,10,0,0,0,,,,0,0,0,0,False,True,False,NGeo,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,1059885,,3,0,0,0,,,,0,0,0,0,False,True,False,Uso,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,2025321,,3,0,0,0,,,,0,0,0,0,False,True,False,ESoc,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,3824262,,51,0,0,0,,,,0,0,0,0,False,True,False,Predio,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,104550,,3,0,0,0,,,,0,0,0,0,False,True,False,ESTADO,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,0,,3,0,0,0,,,,0,0,0,0,False,True,False,fras_aux_PGeo,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,0,,6,0,0,0,,,,0,0,0,0,False,True,False,fras_blk_PGeo,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,0,,18,0,0,0,,,,0,0,0,0,False,True,False,fras_bnd_PGeo,"sin_columna_territorial, muestra_por_performance"
raw,raw\INFRAESTRUCTURA_ESPACIO_PUBLICO\gpkg_mr_v03.26\gpkg_mr_v03.26.gpkg,gpkg_mr_v03.26.gpkg,gpkg,4373.059,,,,,,0,,3,0,0,0,,,,0,0,0,0,False,True,False,fras_ras_PGeo,"sin_columna_territorial, muestra_por_performance"
