columna,n,n_nulos,n_categorias,dominante,pct_dominante,top_5,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
Conceptos,49,9,26.0,(nulo),15.52,(nulo)=9 | Adultos=2 | Atención del Parto=2 | Cuna Básico Neonatal=2 | Cuna Intensiva Neonatal=2,,,,,,,,,,,,,,,,,,
Naturaleza,48,10,3.0,Privada,41.38,Privada=24 | Pública=24 | (nulo)=10,,,,,,,,,,,,,,,,,,
Cantidad,44,14,,,,,24.14,41.0,694.0909,87.5,10.0,2422.45,3.0,15270.0,15267.0,24.0,280.0,256.0,5.5019,32.2896,349.0105,6.0,13.64,False
%,49,9,11.0,"0,00%",44.83,"0,00%=26 | 1,00%=10 | (nulo)=9 | 2,00%=4 | 3,00%=3",,,,,,,,,,,,,,,,,,
NOMBRE_EST,300,0,242.0,COLEGIO AGUSTIN FERNANDEZ (IED),1.33,COLEGIO AGUSTIN FERNANDEZ (IED)=4 | COLEGIO NUEVO HORIZONTE (IED)=4 | COLEGIO ENTRE NUBES SUR ORIENTAL (IED)=4 | COLEGIO TECNICO JOSE FELIX RESTREPO (IED)=4 | COLEGIO TOBERIN (IED)=3,,,,,,,,,,,,,,,,,,
NOMBRE_SED,300,0,299.0,VITELMA,0.67,VITELMA=2 | AQUILEO PARRA=1 | SEDE A - AGUSTIN FERNANDEZ=1 | SEDE B - AGUSTIN FERNANDEZ=1 | SEDE C - AGUSTIN FERNANDEZ=1,,,,,,,,,,,,,,,,,,
ORDEN_DE_S,300,0,4.0,A,80.67,A=242 | B=37 | C=17 | D=4,,,,,,,,,,,,,,,,,,
DIRECCION,300,0,296.0,CL 151 # 15 - 70,0.67,CL 151 # 15 - 70=2 | KR 11 # 185 B - 17=2 | KM 4.5 VIA LA CALERA FINCA SAN JOSE=2 | CL 69 A # 9 - 62=2 | KR 18 A # 187 - 67/65=1,,,,,,,,,,,,,,,,,,
BARRIO__GE,299,1,192.0,SAN CRISTOBAL NORTE,3.33,SAN CRISTOBAL NORTE=10 | BARRANCAS NORTE=8 | TIBABITA=5 | LA CALLEJA=5 | LA VICTORIA=5,,,,,,,,,,,,,,,,,,
TELEFONO,300,0,298.0,6682577,0.67,6682577=2 | 3475908=2 | 6714615  --  3043997208=1 | 6710239  --  6718876  --  6791049=1 | 6771239  --  6703224=1,,,,,,,,,,,,,,,,,,
