columna,n,n_nulos,n_categorias,dominante,pct_dominante,top_5,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
NOMBRE_EST,300,0,242.0,COLEGIO AGUSTIN FERNANDEZ (IED),1.33,COLEGIO AGUSTIN FERNANDEZ (IED)=4 | COLEGIO NUEVO HORIZONTE (IED)=4 | COLEGIO ENTRE NUBES SUR ORIENTAL (IED)=4 | COLEGIO TECNICO JOSE FELIX RESTREPO (IED)=4 | COLEGIO TOBERIN (IED)=3,,,,,,,,,,,,,,,,,,
NOMBRE_SED,300,0,299.0,VITELMA,0.67,VITELMA=2 | AQUILEO PARRA=1 | SEDE A - AGUSTIN FERNANDEZ=1 | SEDE B - AGUSTIN FERNANDEZ=1 | SEDE C - AGUSTIN FERNANDEZ=1,,,,,,,,,,,,,,,,,,
ORDEN_DE_S,300,0,4.0,A,80.67,A=242 | B=37 | C=17 | D=4,,,,,,,,,,,,,,,,,,
DIRECCION,300,0,296.0,CL 151 # 15 - 70,0.67,CL 151 # 15 - 70=2 | KR 11 # 185 B - 17=2 | KM 4.5 VIA LA CALERA FINCA SAN JOSE=2 | CL 69 A # 9 - 62=2 | KR 18 A # 187 - 67/65=1,,,,,,,,,,,,,,,,,,
BARRIO__GE,299,1,192.0,SAN CRISTOBAL NORTE,3.33,SAN CRISTOBAL NORTE=10 | BARRANCAS NORTE=8 | TIBABITA=5 | LA CALLEJA=5 | LA VICTORIA=5,,,,,,,,,,,,,,,,,,
TELEFONO,300,0,298.0,6682577,0.67,6682577=2 | 3475908=2 | 6714615  --  3043997208=1 | 6710239  --  6718876  --  6791049=1 | 6771239  --  6703224=1,,,,,,,,,,,,,,,,,,
EMAIL,300,0,241.0,coldiagustinfernan1@educacionbogota.edu.co,1.33,coldiagustinfernan1@educacionbogota.edu.co=4 | cednvohorizonte1@educacionbogota.edu.co=4 | cedanibalfernande4@educacionbogota.edu.co=4 | coldijosefelixrest4@educacionbogota.edu.co=4 | cedtoberin1@educacionbogota.edu.co=3,,,,,,,,,,,,,,,,,,
WEB,181,119,159.0,(nulo),39.67,(nulo)=119 | http://rectoriagustinfernandez.blogspot.com/=4 | https://www.redacademica.edu.co/colegios/colegio-nuevo-horizonte-ied=4 | www.redacademica.edu.co/colegios/colegio-jose-felix-restrepo-ied=4 | https://www.redacademica.edu.co/colegios/colegio-divino-maestro-ied=3,,,,,,,,,,,,,,,,,,
ENFASIS_PA,20,280,18.0,(nulo),93.33,(nulo)=280 | BACHILLERATO INTERNACIONAL=2 | ARTE Y LENGUAS EXTRANJERAS=2 | CONTABILIDAD Y FINANZAS=2 | CIENCIAS NATURALES - CIENCIAS SOCIALES - ARTE O LENGUAS EXTRANJERAS=1,,,,,,,,,,,,,,,,,,
DISCAPACID,214,86,78.0,(nulo),28.67,(nulo)=86 | -INTELECTUAL-=28 | INTELECTUAL=14 | AUDITIVA-FISICA-INTELECTUAL-MENTAL/PSICOSOCIAL-MULTIPLE=12 | AUDITIVA-FISICA-INTELECTUAL-MULTIPLE=8,,,,,,,,,,,,,,,,,,
TALENTOS_O,138,162,56.0,(nulo),54.0,"(nulo)=162 | TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE=14 | TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-TALENTO EXCEPCIONAL EN ARTES Y LETRAS=10 | -TALENTO EXCEPCIONAL EN ACTIVIDAD FISICA, EJERCICIO Y DEPORTE-=9 | CAPACIDADES EXCEPCIONALES-=8",,,,,,,,,,,,,,,,,,
GRUPOS_ETN,169,131,15.0,(nulo),43.67,(nulo)=131 | AFRODESCENDIENTES-INDIGENAS-NEGRITUDES=45 | INDIGENAS=41 | AFRODESCENDIENTES-INDIGENAS=19 | INDIGENAS-NEGRITUDES=19,,,,,,,,,,,,,,,,,,
REGIMEN_Y,179,121,4.0,LIBERTAD REGULADA,44.67,LIBERTAD REGULADA=134 | (nulo)=121 | LIBERTAD VIGILADA=42 | REGIMEN CONTROLADO=3,,,,,,,,,,,,,,,,,,
SECTOR,300,0,,,,,0.0,2.0,1.3933,1.0,1.0,0.4893,1.0,2.0,1.0,1.0,2.0,1.0,0.4389,-1.8195,35.1177,0.0,0.0,False
NATU_JUR,300,0,,,,,0.0,12.0,11.4833,9.0,9.0,3.79,1.0,18.0,17.0,9.0,15.0,6.0,0.0633,-0.4465,33.0045,0.0,0.0,False
ESTADO,300,0,,,,,0.0,2.0,1.0167,1.0,1.0,0.1282,1.0,2.0,1.0,1.0,1.0,0.0,7.589,55.9653,12.6131,5.0,1.67,False
CALENDARIO,300,0,,,,,0.0,4.0,1.2133,1.0,1.0,0.69,1.0,5.0,4.0,1.0,1.0,0.0,3.5053,12.7579,56.8667,30.0,10.0,False
GENERO,300,0,,,,,0.0,3.0,4.8133,5.0,5.0,0.8128,1.0,5.0,4.0,5.0,5.0,0.0,-4.3098,17.1461,16.887,16.0,5.33,False
COD_LOCA,300,0,4.0,01,43.33,01=130 | 04=115 | 03=29 | 02=26,,,,,,,,,,,,,,,,,,
CARACTER_P,300,0,,,,,0.0,4.0,2.2,1.0,1.0,1.4446,1.0,4.0,3.0,1.0,4.0,3.0,0.4101,-1.8081,65.665,0.0,0.0,False
ESPECIALID,300,0,,,,,0.0,7.0,4.14,1.0,1.0,5.1726,1.0,14.0,13.0,1.0,7.5,6.5,1.0981,-0.7387,124.9431,0.0,0.0,False
ESTRATO,300,0,8.0,2,36.33,2=109 | 3=81 | 7=33 | 4=33 | 1=14,,,,,,,,,,,,,,,,,,
CLASE_TIPO,300,0,,,,,0.0,5.0,2.86,4.0,4.0,1.4813,1.0,6.0,5.0,1.0,4.0,3.0,-0.3849,-1.6495,51.7953,0.0,0.0,False
BILINGUE,300,0,,,,,0.0,5.0,4.8867,5.0,5.0,0.543,1.0,5.0,4.0,5.0,5.0,0.0,-5.6287,33.242,11.111,17.0,5.67,False
FECHA,300,0,1.0,2025-12-31,100.0,2025-12-31=300,,,,,,,,,,,,,,,,,,
DANE12_EST,300,0,242.0,111001029955,1.33,111001029955=4 | 111001086681=4 | 111001020443=4 | 111001035530=4 | 111001046957=3,,,,,,,,,,,,,,,,,,
DANE12_SED,300,0,300.0,111001000132,0.33,111001000132=1 | 111001029955=1 | 111848000244=1 | 111848003456=1 | 111001800920=1,,,,,,,,,,,,,,,,,,
ZONA,300,0,,,,,0.0,2.0,1.04,1.0,1.0,0.1963,1.0,2.0,1.0,1.0,1.0,0.0,4.7185,20.4,18.8737,12.0,4.0,False
NOM_UPL,300,0,,,,,0.0,8.0,21.56,23.0,21.0,6.129,5.0,26.0,21.0,21.0,26.0,5.0,-1.9773,2.7312,28.4278,34.0,11.33,False
NOMBRE_UPZ,300,0,,,,,0.0,26.0,63.1933,33.0,11.0,158.3785,1.0,1002.0,1001.0,12.0,51.0,39.0,5.5926,30.659,250.6254,8.0,2.67,False
