localidad,n_BARRIO__GE,n_COD_LOCA,n_NOM_UPL,n_NOMBRE_UPZ
Antonio Nariño,,42.0,23.0,6.0
Barrios Unidos,,63.0,63.0,11.0
Bogotá,,,,1.0
Bosa,2.0,147.0,54.0,
Chapinero,2.0,26.0,20.0,23.0
Ciudad Bolívar,,149.0,66.0,18.0
Engativá,1.0,258.0,46.0,12.0
Fontibón,2.0,97.0,51.0,28.0
Kennedy,4.0,261.0,70.0,
La Candelaria,1.0,19.0,107.0,31.0
Los Mártires,,35.0,48.0,7.0
Puente Aranda,2.0,94.0,61.0,9.0
Rafael Uribe Uribe,1.0,121.0,122.0,20.0
San Cristóbal,3.0,128.0,56.0,
Santa Fe,2.0,29.0,86.0,
Suba,2.0,357.0,105.0,29.0
Sumapaz,3.0,24.0,105.0,8.0
Teusaquillo,3.0,56.0,47.0,23.0
Tunjuelito,2.0,68.0,12.0,
Usaquén,1.0,130.0,24.0,1.0
Usme,,107.0,70.0,
