columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
codigo_localidad,20,0,0.0,20.0,10.5,10.5,1.0,5.9161,1.0,20.0,19.0,5.75,15.25,9.5,0.0,-1.2,56.3436,0.0,0.0,False,,,,
nombre_localidad,20,0,,,,,,,,,,,,,,,,,,,20.0,Usaquén,5.0,Usaquén=1 | Chapinero=1 | Santa Fe=1 | San Cristóbal=1 | Usme=1
area,20,0,,,,,,,,,,,,,,,,,,,1.0,Total,100.0,Total=20
ano,20,0,0.0,1.0,2025.0,2025.0,2025.0,0.0,2025.0,2025.0,0.0,2025.0,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
poblacion_total,20,0,0.0,20.0,405070.6,326591.5,4021.0,362809.9802,4021.0,1332958.0,1328937.0,146335.0,619726.5,473391.5,1.1329,0.811,89.5671,1.0,5.0,False,,,,
poblacion_hombres,20,0,0.0,20.0,193984.05,160118.0,2018.0,173850.2478,2018.0,629285.0,627267.0,63116.25,291314.5,228198.25,1.0919,0.6423,89.6209,0.0,0.0,False,,,,
poblacion_mujeres,20,0,0.0,20.0,211086.55,165552.5,2003.0,189211.5621,2003.0,703673.0,701670.0,73300.0,328412.0,255112.0,1.1701,0.9681,89.637,0.0,0.0,False,,,,
poblacion_0_5,20,0,0.0,20.0,28208.25,22452.5,392.0,22055.6437,392.0,76965.0,76573.0,11207.0,41322.5,30115.5,0.6889,-0.3859,78.1886,0.0,0.0,False,,,,
poblacion_6_11,20,0,0.0,20.0,28614.75,20003.5,395.0,26681.8527,395.0,90195.0,89800.0,7864.25,40278.0,32413.75,0.9628,-0.0326,93.2451,1.0,5.0,False,,,,
poblacion_12_17,20,0,0.0,20.0,28945.05,21397.0,400.0,27336.4868,400.0,91605.0,91205.0,7080.25,41058.5,33978.25,0.975,-0.0101,94.4427,0.0,0.0,False,,,,
poblacion_5_17,20,0,0.0,20.0,62232.7,44576.5,862.0,57672.2827,862.0,193609.0,192747.0,16901.5,87749.25,70847.75,0.9414,-0.103,92.672,0.0,0.0,False,,,,
poblacion_18_59,20,0,0.0,20.0,252638.05,199584.5,2228.0,229441.4729,2228.0,837814.0,835586.0,91589.0,375885.75,284296.75,1.1823,0.8854,90.8183,1.0,5.0,False,,,,
poblacion_60_mas,20,0,0.0,20.0,66664.5,52631.5,606.0,62044.9791,606.0,236379.0,235773.0,25342.75,85392.75,60050.0,1.3801,1.6629,93.0705,1.0,5.0,False,,,,
