localidad,n_CODIGO_LOCALIDAD,n_NOMBRE_LOCALIDAD
Antonio Nariño,6262.0,6262
Barrios Unidos,6262.0,6262
Bogotá,,6262
Bosa,6262.0,6262
Chapinero,6262.0,6262
Ciudad Bolívar,6262.0,6262
Engativá,6262.0,6262
Fontibón,6262.0,6262
Kennedy,6262.0,6262
La Candelaria,6262.0,6262
Los Mártires,6262.0,6262
Puente Aranda,6262.0,6262
Rafael Uribe Uribe,6262.0,6262
San Cristóbal,6262.0,6262
Santa Fe,6262.0,6262
Suba,6262.0,6262
Sumapaz,6262.0,6262
Teusaquillo,6262.0,6262
Tunjuelito,6262.0,6262
Usaquén,6262.0,6262
Usme,6262.0,6262
