columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
ANO,175956,0,0.0,31.0,2020.0,2020.0,2005.0,8.9443,2005.0,2035.0,30.0,2012.0,2028.0,16.0,0.0,-1.2025,0.4428,0.0,0.0,False,,,,
CODIGO_UPL,175956,0,0.0,33.0,17.0,17.0,1.0,9.5219,1.0,33.0,32.0,9.0,25.0,16.0,0.0,-1.2022,56.0114,0.0,0.0,False,,,,
NOMBRE_UPL,175956,0,,,,,,,,,,,,,,,,,,,33.0,Sumapáz,3.03,Sumapáz=5332 | Cuenca del Tunjuelo=5332 | Arborizadora=5332 | Lucero=5332 | Usme - Entrenubes=5332
SEXO,175956,0,,,,,,,,,,,,,,,,,,,2.0,Hombres,50.0,Hombres=87978 | Mujeres=87978
EDAD,175956,0,0.0,86.0,42.5,42.5,0.0,24.8245,0.0,85.0,85.0,21.0,64.0,43.0,0.0,-1.2003,58.4105,0.0,0.0,False,,,,
ORDEN_MCV,175956,0,0.0,6.0,4.5465,5.0,5.0,1.4993,1.0,6.0,5.0,4.0,6.0,2.0,-1.0626,0.1164,32.9766,0.0,0.0,False,,,,
CURSODEVIDA,175956,0,,,,,,,,,,,,,,,,,,,6.0,Adultez,36.05,Adultez=63426 | Vejez=53196 | Juventud=22506 | Primera Infancia=12276 | Infancia=12276
ORDEN_GRUPO_EDAD,175956,0,0.0,18.0,9.1047,9.0,1.0,4.9651,1.0,18.0,17.0,5.0,13.0,8.0,0.006,-1.1992,54.5334,0.0,0.0,False,,,,
GRUPOEDAD,175956,0,,,,,,,,,,,,,,,,,,,18.0,0 a 4,5.81,0 a 4=10230 | 5 a 9=10230 | 10 a 14=10230 | 15 a 19=10230 | 20 a 24=10230
POBLACION,175956,0,0.0,4408.0,1325.589,1265.0,22.0,919.7843,0.0,6077.0,6077.0,576.0,1948.0,1372.0,0.4992,-0.2683,69.3868,866.0,0.49,False,,,,
