columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
objectid,153,0,0.0,153.0,77.0196,77.0,1.0,44.345,1.0,154.0,153.0,39.0,115.0,76.0,0.0026,-1.1965,57.5763,0.0,0.0,False,,,,
numero_estacion,153,0,,,,,,,,,,,,,,,,,,,153.0,10000,0.65,10000=1 | 03000=1 | 06000=1 | 04000=1 | 05000=1
nombre_estacion,153,0,,,,,,,,,,,,,,,,,,,152.0,Temporal AV. Jiménez - Inter Eléctricas,1.31,Temporal AV. Jiménez - Inter Eléctricas=2 | Portal 20 de Julio=1 | Portal Suba=1 | Portal El Dorado – C.C. NUESTRO BOGOTÁ=1 | Portal 80=1
coordenada_x_estacion,153,0,0.0,153.0,997850.1223,998750.933,985736.3314,4082.7328,985736.3314,1003765.0206,18028.6892,995908.7432,1000706.4471,4797.7039,-1.1476,1.0033,0.4092,8.0,5.23,False,,,,
coordenada_y_estacion,153,0,0.0,153.0,1004820.3865,1003703.0582,992869.2056,5795.5516,992869.2056,1019088.4638,26219.2582,1000129.4773,1009046.2255,8916.7482,0.4887,-0.5982,0.5768,0.0,0.0,False,,,,
ubicacion_estacion,153,0,,,,,,,,,,,,,,,,,,,152.0,KR 4,1.31,KR 4=2 | Kra 5 a Cl 33 Sur=1 | Av Suba Av C. Cali=1 | KR 87=1 | KR 96=1
troncal_estacion,153,0,,,,,,,,,,,,,,,,,,,13.0,Caracas,18.3,Caracas=28 | NQS=23 | Americas=18 | Autonorte=17 | Suba=14
numero_vagones_estacion,153,0,0.0,5.0,2.1961,2.0,2.0,0.7169,1.0,5.0,4.0,2.0,3.0,1.0,0.7761,1.5031,32.6441,1.0,0.65,False,,,,
numero_accesos_estacion,153,0,0.0,3.0,1.3333,1.0,1.0,0.5849,0.0,2.0,2.0,1.0,2.0,1.0,-0.2221,-0.6431,43.8673,0.0,0.0,False,,,,
biciestacion_estacion,153,0,,,,,,,,,,,,,,,,,,,2.0,0,89.54,0=137 | 1=16
capacidad_biciestacion_estacion,153,0,0.0,14.0,24.5621,0.0,0.0,103.3474,0.0,785.0,785.0,0.0,0.0,0.0,5.4007,31.5422,420.7597,16.0,10.46,False,,,,
tipo_estacion,153,0,0.0,4.0,3.6536,4.0,4.0,0.8454,1.0,4.0,3.0,4.0,4.0,0.0,-2.3138,3.9593,23.1395,25.0,16.34,False,,,,
biciparqueadero_estacion,153,0,0.0,2.0,0.1046,0.0,0.0,0.307,0.0,1.0,1.0,0.0,0.0,0.0,2.6101,4.8761,293.5785,16.0,10.46,False,,,,
latitud_estacion,153,0,0.0,153.0,4.6398,4.6297,4.5317,0.0524,4.5317,4.7688,0.2371,4.5974,4.678,0.0806,0.4886,-0.5982,1.1296,0.0,0.0,False,,,,
longitud_estacion,153,0,0.0,153.0,-74.0969,-74.0888,-74.2061,0.0368,-74.2061,-74.0436,0.1625,-74.1144,-74.0711,0.0432,-1.1475,1.0031,-0.0497,8.0,5.23,False,,,,
codigo_nodo_estacion,153,0,0.0,153.0,6706.6732,7005.0,2000.0,3060.6315,2000.0,14005.0,12005.0,4103.0,9107.0,5004.0,0.2715,-0.5675,45.6356,0.0,0.0,False,,,,
componente_wifi,109,44,,,,,,,,,,,,,,,,,,,5.0,Valor SI al campo,60.78,Valor SI al campo=93 | (nulo)=44 | Valor NO al campo=9 | PENDIENTE=4 | NO=3
componente_aplificacion,20,133,,,,,,,,,,,,,,,,,,,4.0,(nulo),86.93,(nulo)=133 | Valor SI al campo=12 | Valor NO al campo=5 | NO=3
globalid,153,0,,,,,,,,,,,,,,,,,,,153.0,{B78C011F-6DE5-44A3-A7CA-3A399CB5B6C2},0.65,{B78C011F-6DE5-44A3-A7CA-3A399CB5B6C2}=1 | {BD590104-0BBB-459F-B755-35AB19174FA0}=1 | {C0133415-310E-46CF-B5A9-666EA6E61807}=1 | {C034C342-CDED-440B-8018-ACD556FFB217}=1 | {42C4A5F7-4BB2-43F1-9F34-3DD9E16D232C}=1
created_user,4,149,,,,,,,,,,,,,,,,,,,3.0,(nulo),97.39,(nulo)=149 | EESTACION=3 | editorTroncal=1
created_date,4,149,97.39,4.0,1764802872500.0,1776269297500.0,1730402938000.0,22933289670.1394,1730402938000.0,1776269957000.0,45867019000.0,1764802477750.0,1776269692250.0,11467214500.0,-2.0,4.0,1.2995,1.0,25.0,False,,,,
last_edited_user,153,0,,,,,,,,,,,,,,,,,,,2.0,editorTroncal,97.39,editorTroncal=149 | EESTACION=4
last_edited_date,153,0,0.0,82.0,1729544626562.0916,1722866256000.0,1779981168000.0,16037092124.9182,1722866215000.0,1779981168000.0,57114953000.0,1722866234000.0,1722866276000.0,42000.0,2.2951,3.8532,0.9272,27.0,17.65,False,,,,
log_replica,0,153,,,,,,,,,,,,,,,,,,,1.0,(nulo),100.0,(nulo)=153
id_trazado_troncal,153,0,,,,,,,,,,,,,,,,,,,17.0,TZ009,11.11,TZ009=17 | TZ002=17 | TZ003=14 | TZ016=14 | TZ001=14
