columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos
service_id,7,0,0.0,7,4.0,4.0,1.0,2.1602,1.0,7.0,6.0,2.5,5.5,3.0,0.0,-1.2,54.0062,0,0.0,False
monday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
tuesday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
wednesday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
thursday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
friday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
saturday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
sunday,7,0,0.0,2,0.5714,1.0,1.0,0.5345,0.0,1.0,1.0,0.0,1.0,1.0,-0.3742,-2.8,93.5414,0,0.0,False
start_date,7,0,0.0,1,20260101.0,20260101.0,20260101.0,0.0,20260101.0,20260101.0,0.0,20260101.0,20260101.0,0.0,0.0,0.0,0.0,0,0.0,False
end_date,7,0,0.0,1,20261231.0,20261231.0,20261231.0,0.0,20261231.0,20261231.0,0.0,20261231.0,20261231.0,0.0,0.0,0.0,0.0,0,0.0,False
