columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
OBJECTID,300,0,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False,,,,
Id,300,0,0.0,300.0,150.5,150.5,1.0,86.7468,1.0,300.0,299.0,75.75,225.25,149.5,0.0,-1.2,57.639,0.0,0.0,False,,,,
departamen,300,0,,,,,,,,,,,,,,,,,,,1.0,Bogotá D.C,100.0,Bogotá D.C=300
municipio,300,0,,,,,,,,,,,,,,,,,,,1.0,BOGOTÁ,100.0,BOGOTÁ=300
codigo_pre,300,0,,,,,,,,,,,,,,,,,,,123.0,1100101010,12.0,1100101010=36 | 1100100130=24 | 1100104035=17 | 1100102404=16 | 1100102317=12
nombre_pre,300,0,,,,,,,,,,,,,,,,,,,123.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH,12.0,INVERSIONES EN RECREACION DEPORTE Y SALUD S.A Y PODRA TAMBIEN DESIGNARSE CON LA SIGLA BODYTECH=36 | INVERSIONES DAMA SALUD SAS=24 | UNIDAD MEDICA Y DE DIAGNOSTICO S.A=17 | INSTITUTO DE DIAGNOSTICO MEDICO S.A.=16 | IMEVI SAS=12
nombre,300,0,,,,,,,,,,,,,,,,,,,292.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL,1.0,UNIDAD RADIOLOGICA DENTO CRANEO MAXILO FACIAL=3 | OPTICA DR MENDEZ SAS=3 | UNIDAD MEDICA DIAGNOSTICA ESPINOSA GOMEZ SAS=3 | CENTRO MEDICO LA FACULTAD SAS=2 | TAC Y RESONANCIA DEL COUNTRY=2
tipo_zona,300,0,,,,,,,,,,,,,,,,,,,2.0,URBANA,99.67,URBANA=299 |  =1
direccion,300,0,,,,,,,,,,,,,,,,,,,299.0,CARRERA 16 No. 82 - 57 PISO 2,0.67,CARRERA 16 No. 82 - 57 PISO 2=2 | KR 64 # 100 55=1 | CLL 43 # 25 - 61=1 | DIAGONAL 19 SUR No 20 -39=1 | TV 94A # 80A 91=1
barrio,300,0,,,,,,,,,,,,,,,,,,,131.0,SANTA BARBARA,6.33,SANTA BARBARA=19 | ANTIGUO COUNTRY=19 | CHAPINERO=16 | CHICO N=9 | CHICO=9
telefono,300,0,,,,,,,,,,,,,,,,,,,216.0, ,12.0, =36 | 7462749=12 | 7565656 Ext 6557=9 | 3438770=8 | 7565656 EXT 6557=8
fax,300,0,0.0,68.0,11722984.4267,0.0,0.0,181955684.6565,0.0,3152537288.0,3152537288.0,0.0,2139097.25,2139097.25,17.3164,299.9053,1552.1277,41.0,13.67,False,,,,
email,300,0,,,,,,,,,,,,,,,,,,,175.0, ,12.33, =37 | habilitacion.cientifica@sonria.com.co=24 | edgarc@colmedica.com=17 | contabilidad@idime.com.co=13 | contabilidad@ieco.com.co=6
clase_pers,300,0,,,,,,,,,,,,,,,,,,,1.0,JURIDICO,100.0,JURIDICO=300
naturaleza,300,0,,,,,,,,,,,,,,,,,,,2.0,Privada,99.33,Privada=298 | Pública=2
clase_pres,300,0,,,,,,,,,,,,,,,,,,,1.0,Instituciones - IPS,100.0,Instituciones - IPS=300
ese,300,0,,,,,,,,,,,,,,,,,,,3.0,NO,96.33,NO=289 |  =9 | SI=2
nivel,300,0,,,,,,,,,,,,,,,,,,,2.0, ,99.33, =298 | 3=2
sede_princ,300,0,,,,,,,,,,,,,,,,,,,2.0,NO,59.33,NO=178 | SI=122
horario_lu,300,0,,,,,,,,,,,,,,,,,,,60.0, ,32.0, =96 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 07 a 17=12
horario_ma,300,0,,,,,,,,,,,,,,,,,,,56.0, ,33.67, =101 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11
horario_mi,300,0,,,,,,,,,,,,,,,,,,,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11
horario_ju,300,0,,,,,,,,,,,,,,,,,,,57.0, ,33.67, =101 | 07 a 19=28 | 07 a 20=23 | 00 a 24=13 | 08 a 18=11
horario_vi,300,0,,,,,,,,,,,,,,,,,,,57.0, ,33.33, =100 | 07 a 19=29 | 07 a 20=23 | 05 a 21=14 | 00 a 24=13
horario_sa,300,0,,,,,,,,,,,,,,,,,,,60.0, ,35.33, =106 | 07 a 18=23 | 07 a 19=14 | 07 a 13=14 | 00 a 00=13
horario_do,300,0,,,,,,,,,,,,,,,,,,,25.0, ,42.33, =127 | 00 a 00=108 | 00 a 24=13 | 09 a 17=10 | 07 a 16=9
fecha_cort,300,0,,,,,,,,,,,,,,,,,,,1.0,Fecha corte REPS: Jul 23 2020 11:22AM,100.0,Fecha corte REPS: Jul 23 2020 11:22AM=300
