columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
objectid,7653,0,0.0,7653.0,10628.3997,10627.0,6801.0,2211.92,6801.0,14865.0,8064.0,8714.0,12540.0,3826.0,0.0044,-1.193,20.8114,0.0,0.0,False,,,,
cenefa_par,7652,1,,,,,,,,,,,,,,,,,,,7648.0,394A12,0.03,394A12=2 | 872A00=2 | 873A00=2 | 874A00=2 | 518A01=2
mdoulo_par,7652,1,,,,,,,,,,,,,,,,,,,8.0,A,87.55,A=6700 | B=687 | C=131 | 0=75 | D=53
zona_parad,7653,0,0.0,15.0,6.2181,6.0,0.0,4.3223,0.0,14.0,14.0,2.0,10.0,8.0,0.0037,-1.332,69.5118,0.0,0.0,False,,,,
nombre_par,7651,2,,,,,,,,,,,,,,,,,,,3539.0,Br. Arborizadora Alta,0.27,Br. Arborizadora Alta=21 | Br. Timiza=21 | Br. Galán=20 | Br. Madelena=17 | Br. Garcés Navas=17
via_parade,7632,21,,,,,,,,,,,,,,,,,,,1918.0,AK 7,3.27,AK 7=250 | AV. Boyacá=230 | AK 68=225 | AV. 1 de Mayo=144 | AV. C. de Cali=138
direccion_,7652,1,,,,,,,,,,,,,,,,,,,6154.0,AK 68 - AC 63,0.14,AK 68 - AC 63=11 | AK 68 - AC 26=9 | AK 68 - AC 13=8 | Estación 1 de Mayo=6 | AK 68 - CL 12A=6
localidad_,7653,0,0.0,20.0,9.3031,9.0,8.0,5.2395,0.0,19.0,19.0,5.0,12.0,7.0,0.2235,-0.7175,56.3201,0.0,0.0,False,,,,
consola_pa,7652,1,,,,,,,,,,,,,,,,,,,7648.0,KR 9 - CL 48D Sur (394A12),0.03,KR 9 - CL 48D Sur (394A12)=2 | AV. Caracas - CL 32 (872A00)=2 | AV. Caracas - CL 36 (873A00)=2 | DG 40A - KR 13 (874A00)=2 | CL 187 - KR 11 (518A01)=2
panel_para,7652,1,,,,,,,,,,,,,,,,,,,6154.0,AK 68 - AC 63,0.14,AK 68 - AC 63=11 | AK 68 - AC 26=9 | AK 68 - AC 13=8 | Estación 1 de Mayo=6 | AK 68 - CL 12A=6
audio_para,7620,33,,,,,,,,,,,,,,,,,,,5973.0,Avenida primero de mayo,0.57,Avenida primero de mayo=44 | (nulo)=33 | Avenida Carrera 68 Avenida Calle 63=11 | Avenida Carrera 68 Avenida Calle 26=9 | Avenida Carrera 68 Avenida Calle 13=8
longitud_p,7653,0,0.0,7651.0,-74.0989,-74.1083,-74.1153,0.8483,-74.215,0.0,74.215,-74.1415,-74.0765,0.065,87.1325,7612.3281,-1.1448,1.0,0.01,False,,,,
latitud_pa,7653,0,0.0,7651.0,4.6298,4.6347,4.631,0.9047,-74.1483,4.823,78.9713,4.5919,4.6931,0.1012,-86.3219,7516.0808,19.541,3.0,0.04,False,,,,
coordenada,7653,0,0.0,7651.0,996419.5702,996577.2708,995811.7093,12382.639,0.0,1006917.9848,1006917.9848,992898.6806,1000112.8789,7214.1983,-68.1101,5480.8556,1.2427,1.0,0.01,False,,,,
coordena_1,7653,0,0.0,7651.0,1004780.2194,1004254.1475,1003850.2564,13694.7154,0.0,1025075.6171,1025075.6171,999532.6442,1010720.0709,11187.4267,-51.6179,3787.1919,1.363,2.0,0.03,False,,,,
globalid,7653,0,,,,,,,,,,,,,,,,,,,7653.0,{082E77CF-85F6-42F9-83CC-7093533D094F},0.01,{082E77CF-85F6-42F9-83CC-7093533D094F}=1 | {B46CB127-2366-49EA-A1A3-DED346236598}=1 | {8FAC6F30-DB0E-4131-B5AF-F990AE362EBB}=1 | {271EF224-DE9C-41E5-8134-219BD4072F06}=1 | {54C1A4B0-E9A9-4B15-8D6C-078A78B4C2B2}=1
