columna,n,n_nulos,pct_nulos,n_unicos,media,mediana,moda,desv_est,min,max,rango,Q1,Q3,IQR,asimetria_skew,curtosis,CV_pct,n_outliers_iqr,pct_outliers,sin_valores_numericos,n_categorias,dominante,pct_dominante,top_5
objectid,682,0,0.0,682.0,11021.978,11053.5,10421.0,260.5912,10421.0,11413.0,992.0,10876.25,11233.75,357.5,-0.5191,-0.7129,2.3643,0.0,0.0,False,,,,
abrevia,524,158,,,,,,,,,,,,,,,,,,,32.0,(nulo),23.17,(nulo)=158 | ALI=101 | HHH=57 | AAA=43 | KKK=37
cod_linea,682,0,,,,,,,,,,,,,,,,,,,542.0,MK86,0.59,MK86=4 | ML82=4 | BG12=4 | DL81=4 | FJ23=4
nom_ruta,682,0,,,,,,,,,,,,,,,,,,,535.0,MK86,0.59,MK86=4 | ML82=4 | BG12=4 | DL81=4 | FJ23=4
orig_ruta,682,0,,,,,,,,,,,,,,,,,,,260.0,Portal Usme,3.37,Portal Usme=23 | Portal Suba=20 | Portal Tunal=19 | Portal 80=15 | Metrovivienda=15
dest_ruta,682,0,,,,,,,,,,,,,,,,,,,355.0,Germania,2.2,Germania=15 | Metrovivienda=12 | Portal Usme=11 | Portal Américas=11 | Porciuncula=10
fec_impl,682,0,,,,,,,,,,,,,,,,,,,260.0, ,19.21, =131 | 26/03/2015=39 | 22/05/2021=16 | 17/02/2014=15 | 16/01/2021=11
loc_orig,682,0,0.0,19.0,8.1393,8.0,11.0,4.5217,0.0,19.0,19.0,5.0,11.0,6.0,0.5409,0.1848,55.5543,0.0,0.0,False,,,,
loc_dest,682,0,0.0,19.0,8.0894,8.0,11.0,4.817,0.0,19.0,19.0,4.0,11.0,7.0,0.5539,-0.1193,59.5467,0.0,0.0,False,,,,
long_ruta,682,0,0.0,680.0,506243.1859,25.3344,39.3631,3991614.393,3.0212,52546499.0,52546495.9788,12.1686,37.4064,25.2378,9.0785,90.1178,788.4777,15.0,2.2,False,,,,
