Codigo,Nombre,Dominio,Entidad_Fuente,Unidad,Formula_LaTeX,Polaridad_IPT,Poblacion_Objetivo,Descripcion
DEM-001,Densidad Poblacional,Demografía,SDP / DANE,hab/km²,\text{Densidad} = \frac{\text{Población}}{\text{Área km}^2},Informativo / Contexto,Población total proyectada,Concentración de habitantes por unidad de superficie territorial.
DEM-002,Población Total Estimada,Demografía,DANE Proyecciones,Habitantes,P_i = \sum \text{Habitantes Censados},Denominador Per Cápita,Población general,Volumen poblacional base para la normalización de indicadores por habitante.
SAL-001,Sedes IPS por 10.000 Habitantes,Salud,SDS / REPS,sedes/10k hab,"t_{\text{salud}} = \frac{\text{Sedes IPS Registradas}}{\text{Población}} \times 10\,000",Inversa (Carencia = 1 - Norm),Población total,Disponibilidad relativa de establecimientos prestadores de salud (Dimensión 2 IPT).
SAL-002,Camas Hospitalarias por 10.000 Habitantes,Salud,SDS / SaluData,camas/10k hab,"t_{\text{camas}} = \frac{\text{Camas Totales}}{\text{Población}} \times 10\,000",Inversa (Carencia = 1 - Norm),Población total,Capacidad asistencial instalada de camas hospitalarias.
EDU-001,Oferta de Cupos Escolares por 1.000 hab (5-17 años),Educación,SED / SIMAT,cupos/1k hab escolar,"t_{\text{edu}} = \frac{\text{Oferta Regular Cupos}}{\text{Población 5 a 17 años}} \times 1\,000",Inversa (Carencia = 1 - Norm),Niños y jóvenes en edad escolar (5-17 años),Capacidad del sistema educativo público frente a la demanda potencial (Dimensión 1 IPT).
EDU-002,Puntaje Promedio Saber 11,Educación,ICFES / SED,Puntos (0-500),\overline{P}_{\text{Saber11}} = \frac{1}{N} \sum_{i=1}^N P_i,Inversa (Carencia = 1 - Norm),Estudiantes de grado 11,Nivel de logro académico y calidad educativa media.
EDU-003,Tasa de Deserción Escolar Anual,Educación,SED,%,\%_{\text{desercion}} = \frac{\text{Estudiantes Retirados}}{\text{Matrícula Inicial}} \times 100,Directa (Alerta Temprana),Estudiantes matriculados,Porcentaje de estudiantes que abandonan el sistema escolar antes de culminar el año.
MOV-001,Densidad de Estaciones Troncales TransMilenio,Movilidad,TransMilenio S.A.,estaciones/km²,d_{\text{est}} = \frac{\text{Estaciones Troncales}}{\text{Área km}^2},Inversa (Carencia = 1 - Norm),Usuarios de transporte masivo,Acceso espacial al sistema troncal de transporte público (Dimensión 3 IPT).
MOV-002,Densidad de Paraderos Zonales SITP,Movilidad,TransMilenio S.A.,paraderos/km²,d_{\text{par}} = \frac{\text{Paraderos SITP}}{\text{Área km}^2},Inversa (Carencia = 1 - Norm),Usuarios de transporte zonal,Cobertura espacial de paraderos del sistema zonal SITP en el territorio.
MOV-003,Tiempo Promedio de Viaje Laboral,Movilidad,SDM / Encuesta Movilidad,Minutos,\overline{T}_{\text{viaje}} = \frac{1}{N} \sum T_i,Directa (Pérdida de Bienestar),Trabajadores ocupados,Duración media del desplazamiento habitual hacia el lugar de trabajo.
AMB-001,Densidad de Conflictos Ambientales SAC,Ambiente,SDA / SAC,conflictos/km²,d_{\text{conf}} = \frac{\text{Conflictos SAC Registrados}}{\text{Área km}^2},Directa (Vulnerabilidad = Norm),Territorio y ecosistemas,Afectaciones socio-ambientales y pasivos ecológicos registrados (Dimensión 4 IPT).
INF-001,Parques IDRD por 10.000 Habitantes,Infraestructura,IDRD / DADEP,parques/10k hab,"t_{\text{parques}} = \frac{\text{Parques IDRD}}{\text{Población}} \times 10\,000",Inversa (Carencia = 1 - Norm),Población general,Disponibilidad de parques y espacios recreativos públicos (Dimensión 5 IPT).
VUL-001,Tasa de Vendedores Informales RIVI por 10.000 Hab.,Vulnerabilidad,IPES / RIVI,vendedores/10k hab,"t_{\text{rivi}} = \frac{\text{Vendedores Informales Promedio}}{\text{Población}} \times 10\,000",Directa (Vulnerabilidad = Norm),Población en informalidad,Incidencia de empleo informal en espacio público (Dimensión 6 IPT).
SEG-001,Cuadrantes Policiales por 10.000 Habitantes,Seguridad,MEBOG / SCJ,cuadrantes/10k hab,"t_{\text{cuad}} = \frac{\text{Cuadrantes Policiales}}{\text{Población}} \times 10\,000",Inversa (Carencia = 1 - Norm),Población general,Cobertura de patrullaje policial preventivo (Dimensión 7 IPT).
SEG-002,Tasa de Homicidios por 100.000 Habitantes,Seguridad,MEBOG / SCJ,homicidios/100k hab,"t_{\text{hom}} = \frac{\text{Homicidios Anuales}}{\text{Población}} \times 100\,000",Directa (Alerta Violencia Letal),Población general,Incidencia de violencia letal extrema en el territorio.
PAR-001,"Peticiones, Quejas y Reclamos (PQR) por 10.000 Hab.",Participación Ciudadana,Sec. General / SDQS,PQR / 10k hab,"\text{PQR/10k} = \frac{\text{Peticiones SDQS}}{\text{Población}} \times 10\,000",Directa (Mayor PQR = Mayor insatisfacción),Población general usuaria de servicios distritales,Tasa de requerimientos ciudadanos radicados ante la Administración Distrital.
EST-001,Factor de Inflación de la Varianza (VIF),Validación Estadística,Auditoría Estadística SIPTA,Adimensional,\text{VIF}_j = \frac{1}{1 - R_j^2},Diagnóstico (VIF < 10.0 Aceptable),7 Dimensiones Canónicas del IPT,Cuantifica el grado de multicolinealidad y redundancia entre las dimensiones del modelo.
EST-002,IPT Agregación Geométrica Ponderada,Modelado No Compensatorio,OCDE / JRC Handbook,"Escala [0, 100]","\text{IPT}_{\text{Geom}, i} = 100 \times \left( \prod_{d=1}^D (s_{i, d} + \epsilon)^{w_d} \right) - 100\epsilon",Directa (Mayor valor = Mayor carencia),20 Localidades de Bogotá D.C.,Agregación multiplicativa que penaliza fuertemente a localidades con déficits extremos no compensables.
EST-003,Intervalos de Confianza Bootstrap al 95%,Incertidumbre y Sensibilidad,Remuestreo Dirichlet (B=1000),"Intervalo [IC_inf, IC_sup]","\text{IC}_{95\%} = [Q_{0.025}(\text{IPT}^*), Q_{0.975}(\text{IPT}^*)]",Diagnóstico de Estabilidad,20 Localidades de Bogotá D.C.,Cuantifica la incertidumbre estocástica de los puntajes IPT frente a fluctuaciones en las ponderaciones.
EST-004,Suavizamiento Bayesiano Empírico de Marshall,Epidemiología y Tasas,Marshall Rate Smoother,Tasa por 10.000 hab,"\tilde{r}_i = w_i r_i + (1 - w_i) \mu, \quad w_i = \frac{s^2 - \mu/\bar{n}}{s^2 - \mu/\bar{n} + \mu/n_i}",Estabilización de Tasas,"Localidades con N < 10.000 hab (La Candelaria, Sumapaz)",Estabiliza tasas per cápita en unidades con población muy reducida para evitar volatilidad espuria.
EST-005,Índice de Moran Global de Autocorrelación Espacial,Econometría Espacial,Matriz Reina Queen Bogotá,"Estadístico I [-1, 1]",I = \frac{N}{S_0} \frac{\sum_i \sum_j w_{ij}(x_i - \bar{x})(x_j - \bar{x})}{\sum_i (x_i - \bar{x})^2},Diagnóstico de Dependencia Espacial,20 Localidades de Bogotá D.C.,Verifica si los déficits territoriales forman conglomerados geográficos continuos estadísticamente significativos.
FIN-001,Inversión FDL Per Cápita,Finanzas,SDP / Confis / FDL,Millones COP / hab,t_{\text{fdl}} = \frac{\text{Presupuesto Ejecutado FDL}}{\text{Población}},Informativo / Contraste de Inversión,Población local,Inversión pública local ejecutada por habitante.
FIN-002,Porcentaje de Ejecución Presupuestal FDL,Finanzas,Sec. Gobierno,%,\%_{\text{ejec}} = \frac{\text{Presupuesto Ejecutado}}{\text{Presupuesto Aprobado}} \times 100,Directa (Eficiencia Administrativa),Presupuesto distrital,Capacidad de ejecución del gasto de inversión por alcaldía local.
PUB-001,Índice de Riesgo de la Calidad del Agua (IRCA),Servicios Públicos,EAAB / Superservicios,Puntos (0-100),\text{IRCA} = \sum \text{Ensayos No Conformidad},Directa (Riesgo Sanitario),Suscriptores residenciales,Evaluación del riesgo fisicoquímico y microbiológico del agua para consumo.
PUB-002,Cobertura de Acueducto EAAB,Servicios Públicos,EAAB / SSPD,%,\%_{\text{acueducto}} = \frac{\text{Suscriptores Conectados}}{\text{Total Viviendas}} \times 100,Inversa (Carencia = 1 - Norm),Hogares de la localidad,Porcentaje de predios formalmente conectados a la red matriz de acueducto.
EMP-001,Conmutación Laboral Externa hacia el Centro Ampliado (%),Empleo y Economía,DANE / SDM,% de ocupados,\%_{\text{conmut}} = \frac{\text{Ocupados que trabajan fuera}}{\text{Total Ocupados}} \times 100,Informativo / Demanda Movilidad,Población ocupada,Grado de dependencia laboral externa respecto al centro urbano consolidado.
PAR-001,"Peticiones, Quejas y Reclamos (PQR) por 10.000 Hab.",Participación Ciudadana,Sec. General / SDQS,PQR / 10k hab,"t_{\text{pqr}} = \frac{\text{Total PQR Recibidas}}{\text{Población}} \times 10\,000",Directa (Demanda/Inconformidad),Ciudadanía activa,"Volumen de demandas, quejas de malla vial y solicitudes ciudadanas registradas."
